# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.project.serializers.save.ms,1773650275901000000,1773650310306000000,21
jps.global.get.library.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1773650275901000000,1773650310306000000,1
jps.load.project.to.empty.storage.ms,1773650275901000000,1773650310306000000,36
jps.app.storage.content.writer.save.component.ms,1773650275901000000,1773650310306000000,1
workspaceModel.mutableEntityStorage.entities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1773650275901000000,1773650310306000000,1
jps.module.iml.entities.serializer.load.entities.ms,1773650275901000000,1773650310306000000,0
jps.load.initial.state.ms,1773650275901000000,1773650310306000000,7
workspaceModel.sync.entities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.do.save.caches.ms,1773650275901000000,1773650310306000000,266
jps.save.global.entities.ms,1773650275901000000,1773650310306000000,3
workspaceModel.save.cache.to.file.ms,1773650275901000000,1773650310306000000,324
workspaceModel.mutableEntityStorage.collect.changes.ms,1773650275901000000,1773650310306000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1773650275901000000,1773650310306000000,0
jps.app.storage.content.reader.load.component.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1773650275901000000,1773650310306000000,0
workspaceModel.load.cache.from.file.ms,1773650275901000000,1773650310306000000,0
jps.project.serializers.load.ms,1773650275901000000,1773650310306000000,3
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1773650275901000000,1773650310306000000,0
workspaceModel.global.apply.state.to.project.ms,1773650275901000000,1773650310306000000,0
jps.modifiable.module.model.bridge.disposing.ms,1773650275901000000,1773650310306000000,0
jps.facet.change.listener.process.change.events.ms,1773650275901000000,1773650310306000000,0
jps.artifact.entities.serializer.load.entities.ms,1773650275901000000,1773650310306000000,0
jps.modifiable.module.model.bridge.new.module.ms,1773650275901000000,1773650310306000000,35
jps.facet.change.listener.before.change.events.ms,1773650275901000000,1773650310306000000,0
jps.global.get.library.by.name.ms,1773650275901000000,1773650310306000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1773650275901000000,1773650310306000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1773650275901000000,1773650310306000000,61
jps.global.handle.before.change.events.ms,1773650275901000000,1773650310306000000,0
